Reporting,Owner,Installation Date,Station Name,,Adresses,Site Type,Latitude,Longitude,Council District,Agreement determined Neighborhood,Base Non-Bolted,Base Bolted,Power Type,Board Type,Aircard Type,AC Plugin,Dock,Bikes Ordered via TIP,Bikes Ordered via HBS,Method of Insurance,Station Count ,Dock Count,Bike Count,Notes,Bike to Dock Ratio,METRO?,Sponsor,Sponsor Amt Pd,"BTT
Installed"
TIP,COH,8/13/2019,UHD Daly Parking Lot,1 Suspended,"1599 Daly Pl, Houston, TX 77002",Private Property,29.77067941,-95.35897045,D,UHD,,,DC,,,,18,7,,,,,,,,,,,
TIP,COH,7/30/2019,UHD Shea St Building/Lot B,1 Suspended,"1115 Naylor St Houston, Tx 77002",Private Property,29.76987,-95.35802,,UHD,,,DC,,,,14,7,,,,,,,,,,,
TIP,COH,7/31/2019,UHD Soccer Field / White Oak Bayou Trailhead,1 Suspended,"Heights Hike and Bike Trail Houston, Tx 77002",Park,29.76818,-95.35969,,UHD,,,DC,,,,22,8,,,,,,,,,,,
TIP,COH,10/24/2018,UTHSC Housing & Rec Center,1 Suspended,"Bertner Ave & West Rd, Houston, TX 77054",Private Property,29.69151,-95.39655,D,TMC,,,DC,1.5 DL,Feeney 4G,N/A,30,,,,,,,,,,,,
TIP,COH,4/26/2017,Woodland Park,1 Suspended,"2760 Houston Ave., Houston, TX 77009",Park,29.783564,-95.372045,H,Heights,,8,DC,1.5 DL,,N/A,15,12,,,,,,,,,,,
,COH,12/19/2013,1919 Runnels,1 Suspended,"1919 Runnels, Houston, TX 77002",ROW,29.76074791,-95.34793091,H,Greater East End,6,N/A,AC,1.5 DL,Verizon 3G,Clayton Homes?,11,7,,,157,2203,,,46%,Y,,,
TIP,COH,9/25/2018,Amherst & Kelvin,1 Suspended,"2503 Amherst St, Houston, TX 77005",Private Property,29.71593,-95.41667,C,Rice Village,5,N/A,AC,,Verizon 3G,,9,6,,,,,,,,,,,
,COH,3/26/2013,Downtown Transit Center METRORail,1 Suspended,"1900 Main St., Houston, TX 77002",ROW,29.74986076,-95.37071991,I,Downtown,6,N/A,AC,1.5,Feeney 4G,N/A,11,7,,,,,,,,Y,,,
TIP,COH,9/25/2018,Dunstan & Kelvin,1 Suspended,"5200 Kelvin Dr Houston, TX 77005",Private Property,29.7191,-95.41671,C,Rice Village,,,AC,,Verizon 3G,,11,9,,,,,,,,,,,
TIP,COH,5/29/2019,Heights Central Station,1 Suspended,"1051 Heights Blvd., Houston, TX 77008",ROW,29.79058,-95.3976,C,Heights,4,N/A,AC,1.5,Feeney 4G,,7,4,,,,,,,,,,,
TIP,COH,4/27/2021,Heights HEB N. Shepherd & 23rd,1 Suspended,"2300 N. Shepherd Dr., Houston, TX 77008",ROW,"29°48'25.01""N ","95°24'35.42""W ",C,Heights,N/A,10,AC,1.5,Inseego DS,HEB Heights,19,,,,,,,,,,,,
,HBS,5/1/2018,Memorial City Club,1 Suspended,"920 Memorial City Way, Houston, TX 77024",Private Property,29.78199,-95.53517,G,Memorial Management District,N/A,5,AC,1.5 DL,Feeney 4G,,9,7,,,,,,,,,,,
,HBS,7/25/2016,Pearl City Centre,1 Suspended,"10401 Town & Country Way, Houston, TX 77024",Private Property,29.781732,-95.5562342,G,Memorial Management District,N/A,4,AC,1.5 DL,Feeney 4G,Pearl City Center,7,7,,,,,,,,,,,
TIP,COH,7/30/2019,UHD Jesse H. Jones Student Life Center,1 Suspended,"150 Girard St., Houston, TX 77002",Private Property,29.76676,-95.35963,,UHD,,,AC,,,,18,10,,,,,,,,,,,
TIP,COH,10/23/2019,Eastwood Park,2 Supended,5000 Harrisburg Blvd. Houston TX 77011,Park,29.742504,-95.32493,I,Greater East End ,N/A,8,DC,,,N/A,14,,,,,,,,,Y,,,
TIP,COH,4/25/2017,Guadalupe Park Plaza,2 Supended,"2311 Runnels St
Houston, TX 77003",Park,29.759673,-95.345536,H,Greater East End,N/A,8,DC,1.5 DL,Verizon 3G,N/A,15,12,,,,,,,,Y,,,
TIP,COH,12/1/2020,Mason Park,2 Supended,"541 S 75th St Houston, Tx 77023",Park,29.724478,-95.294097,I,Greater East End,8,N/A,DC,1.5,,N/A,30,1,,,,,,,,,,,
TIP,COH,12/1/2020,Telephone & Eddington,2 Supended,"619 Telephone Rd Houston, Tx 77023",ROW,29.735086,-95.331002,I,Great East End,N/A,7,DC,1.5,,,13,2,,,,,,,,Y,,,
TIP,COH,7/25/2017,Gateway on Cullen,2 Supended,"1815 Cullen Blvd., Houston, TX 77023",Private Property,29.7341,-95.34114,I,EaDo,N/A,5,AC,1.5 DL,Verizon 3G,Gateway on Cullen,9,7,,,,,,,,,,,
TIP,COH,4/18/2018,Ben Taub Hospital,2 Suspended,"1504 Ben Taub Loop, Houston, TX 77030",Park,29.71147,-95.39331,D,TMC,N/A,7,DC ,1.5 DL,Verizon 3G,N/A,13,10,,,,,,,,Y,,,
TIP,COH,8/15/2018,BioScience Research Collaborative,2 Suspended,"6500 S Main St, Houston, TX 77030",ROW,29.71089,-95.40156,D,TMC,,,DC ,1.5 DL,Verizon 3G,N/A,13,14,,,,,,,,Y,,,
"TIP, PC1",COH,7/23/2019,Change Happens,2 Suspended,"3353 Elgin St., Houston, Tx 77004",ROW,29.7291,-95.3535,D,Third Ward,5,N/A,DC ,1.5 DL,Feeney 4G,N/A,9,0,,,,,,,,,,,
TIP,COH,7/25/2018,Memorial Hermann Hospital Houston Zoo METRORail,2 Suspended,"Ross Sterling Ave & Fannin St, Houston, TX 77030",Private Property,29.71356,-95.39765,D,TMC,N/A,8,DC ,1.5 DL,Feeney 4G,N/A,15,9,,,,,,,,Y,,,
TIP,COH,11/28/2018,The Southmore,2 Suspended,"5280 Caroline St, Houston TX 77004",ROW,29.72687,-95.38608,,,,,DC ,1.5 DL,Feeney 4G,N/A,13,11,,,,,,,,,,,
TIP,COH,7/25/2018,TMC Commons,2 Suspended,"6550 Bernter Ave., Houston, TX 77030",Private Property,29.70972,-95.39778,D,TMC,N/A,7,DC ,1.5 DL,Feeney 4G,N/A,13,9,,,,,,,,,,,
TIP,COH,7/24/2018,TMC Garage 2,2 Suspended,"1150 Bates., Houston, TX 77030",Private Property,29.7064,-95.39938,D,TMC,7,N/A,DC ,1.5 DL,Feeney 4G,N/A,9,9,,,,,,,,,,,
TIP,COH,7/24/2018,TMC Transit Center,2 Suspended,"6910 Fannin St., Houston, TX 77030",Private Property,29.7046,-95.40286,D,TMC,13,N/A,DC ,1.5 DL,Feeney 4G,N/A,13,10,,,,,,,,Y,,,
PC1,PC1,6/30/2022,Boyce Dorian Park,2 Suspended,2020 Solo Street,Park,29.77953,-95.32026,,5th Ward,4,N/A,DC,1.5,Inseego SC,N/A,14,0,0,,,,,,,,PC1,,
TIP,COH,12/1/2020,Fifth Ward CRC Lyons & Waco,2 Suspension,"4300 Lyons Ave Houston, TX 77020",Private Property,29.776056,-95.32676,B,Inner Loop NE,,,DC,1.5,,,11,3,,,,,,,,,,,
,HBS,8/23/2021,Harrisburg & Sampson,2 Suspended,"3315 Harrisburg Blvd #400, Houston, TX 77003",Private Property,29.748526,-95.34145,,Greater East End,N/A,5,DC,1,Inseego DS,N/A,9,,,,,,,,,Y,,,
,HBS,1/8/2021,Houston BCycle Headquarters,2 Suspended,"5603 Navigation Blvd., Houston, TX 77011",Private Property,29.74793,-95.31656,H,Greater East End,N/A,3,DC,1.5,Inseego DS,N/A,5,,,,,,,,,,,,
TIP,COH,4/27/2021,Legacy Community Health Lyons Clinic,2 Suspended,"2300 N. Shepherd Dr., Houston, TX 77008",Private Property,"29°46'33.83""N ","95°19'54.77""W",,Inner Loop Northeast,6,N/A,DC,1.5,Inseego DS,N/A,11,0,,,,,,,,Y,,,
TIP,COH,4/25/2017,Main & Wichita,2 Suspended,"4912 Main St., Houston, TX 77002",ROW,29.729854,-95.386556,D,Museum District,6,N/A,DC,1.5 DL,Feeney 4G,N/A,11,9,,,,,,,,,,,
,COH,3/29/2013,Museum District METRORail MFAH Fannin & Binz,2 Suspended,"5623 Fannin St., Houston, TX 77004",ROW,29.72486305,-95.38922882,D,Museum District,N/A,7,DC,1.5,Feeney 4G,N/A,13,9,,,,,,,,Y,,,
PC1,PC1,12/23/2021,Peggy Park,2 Suspended,"4101 Almeda Rd. Houston, TX 77004",Park,29.73223,-95.3754,,Midtown,N/A,4,DC,1.5,Inseego DS,N/A,13,0,,,,,,,,Y,,,
,COH,9/25/2013,Project Row House/Holman & Live Oak,2 Suspended,"2521 Holman St., Houston, TX 77004",ROW,29.73172951,-95.36529541,D,Third Ward,N/A,5,DC,1.5,Feeney 4G,N/A,9,5,,,,,,,,,,,
TIP,COH,12/1/2020,Quitman Near Northside METRORail,2 Suspended,"638 Quitman St Houston, TX 77009",Private Property,29.780742,-95.363655,H,Near Northside,,,DC,1.5,,,17,,,,,,,,,Y,,,
PC1,PC1,3/11/2021,Root Square @ Austin & Clay,2 Suspended,"1400 Clay St. Houston, TX 77002",ROW,29.75181,-95.36385,,Downtown,6,,DC,1.5,Inseego DS,N/A,11,0,,,,,,,,,,,
TIP,COH,2/16/2022,South Yard @ Silver & Center ,2 Suspended,"1818 Washington Ave, Houston,TX ",ROW,29.768427,-95.377182,H,Washington Corridor,6,N/A,DC,1.5,Inseego SC,N/A,11,,,,,,,,,,,,
TIP,COH,8/24/2021,The Exchange @ Hardy Yards,2 Suspended,"1550 Leona St, Houston, TX 77026",ROW," 29°46'22.25""N"," 95°21'19.76""W",,Near Northside,N/A,8,DC,1.5,Inseego DS,N/A,30,0,,,,,,,,,,,
TIP,COH,8/23/2021,The Silos @ Sawyer Yards,2 Suspended,"1502 Sawyer St, Houston, TX 77007",ROW," 29°46'17.18""N"," 95°22'57.72""W",H,Washington Corridor,N/A,10,DC,1.5,Inseego DS,N/A,19,,,,,,,,,,,,
TIP,COH,12/18/2019,TMC Dryden METROrail,2 Suspended,"6595 Fannin St., Houston, TX 77030",ROW,29.70984,-95.40064,D,TMC,,,DC,,,,13,,,,,,,,,Y,,,
